X.ID,X.MAT,XCOO,YCOO,XCOO_km,YCOO_km,X.FOREST,DAY,X.WEATHER,ALT,X.ASP,X.GRVEG,X.FLITHO,Ag_ppb,As_ash,B,Ba,Ca,Cd,Co,Cr,Cu,Fe,Hg_ppb,K,La,LOI,Mg,Mn,Mo,Ni,P,Pb,S,Sb,Sr,Ti,Zn
116,BIL,584623,6677522,584.623,6677.522,BIRSPR,12,NICE,556,FLAT,BLUE,MAGM,3,0.03,20,51,7800,0.34,0.29,0.9,4.62,60,14,6600,0.03,96.4,2220,2448,0.07,2.3,1710,0.38,1800,0.02,24.9,8,205.5
117,BIL,589418,6680992,589.418,6680.992,SPRPIN,12,NICE,500,NW,BLUE,MAGM,5,0.01,36,110.8,10600,0.89,1.13,0.9,6.22,50,17,8800,0.09,95,3480,3136,0.33,10.3,2010,0.4,2300,0.02,30.1,8,330.2
118,BIL,588861,6672243,588.861,6672.243,SPRUCE,13,RAIN,522,NW,BLGR,MAGM,5,0.02,27,67.3,9100,0.64,1.22,0.8,5.79,90,22,8200,0.05,95.5,3380,4253,0.12,2.4,1670,0.61,1900,0.03,41.8,8,271.4
119,BIL,591885,6668839,591.885,6668.839,SPRBIR,13,RAIN,504,S,GRAS,MAGM,5,0.04,25,223.5,11200,1.26,0.3,0.8,6.75,60,15,8000,0.37,95.1,3570,3343,0.42,5.2,2200,0.62,2100,0.03,40.5,10,554.3
121,BIL,592250,6664455,592.25,6664.455,SPRBIR,14,MOIST,400,N,MOGR,MAGM,4,0.04,25,71.3,9800,0.63,0.39,0.8,4.86,70,18,6900,0.03,95.6,3860,2012,0.06,0.8,2640,0.64,1600,0.03,46.9,11,289.4
122,BIL,593299,6660953,593.299,6660.953,SPRBIR,14,NICE,340,S,BLUE,MAGM,3,0.03,22,96.1,9300,0.62,0.62,0.8,4.84,60,18,9900,0.65,95.1,2670,3256,0.13,5.7,3320,0.66,1500,0.04,40.9,14,318.3
123,BIL,593328,6657946,593.328,6657.946,SPRBIR,15,CLOUD,420,NW,BLLY,MAGM,4,0.01,16,23.8,7400,0.35,0.06,0.8,5.57,70,15,7800,0.04,96.4,2520,2263,0.08,0.9,1490,0.82,1700,0.04,15.6,7,182.3
124,BIL,595140,6656129,595.14,6656.129,BIRSPR,15,MOIST,290,SW,MOGR,MAGM,6,0.01,30,98.3,9700,1.24,0.2,0.8,5.93,70,13,7500,0.07,95.4,3200,4377,0.13,1.2,2070,0.76,1800,0.04,35.3,10,447.4
125,BIL,598010,6652619,598.01,6652.619,SPRUCE,16,NICE,205,SE,MIX,MAGM,10,0.01,22,58.7,9800,0.61,0.19,1.1,7,90,24,9500,0.1,95.1,3100,2991,0.13,3,1890,1.17,2400,0.07,24.9,9,477.8
126,BIL,597394,6653685,597.394,6653.685,SPRPIN,16,NICE,307,,BLUGRA,MAGM,6,0.01,28,89.2,7900,0.85,0.17,0.8,5.6,60,15,9700,0.16,95.8,1440,4000,0.1,3.4,2040,1.46,1600,0.06,29.2,9,484.9
127,BIL,592592,6645600,592.592,6645.6,SPRUCE,17,NICE,160,SE,GRAS,CAMSED,11,0.02,21,40.3,8800,1.47,0.49,0.9,5.26,50,15,6000,0.06,96.2,2460,1271,0.34,9.1,1440,7.2,1900,0.05,35.4,7,863.8
128,BIL,593200,6642327,593.2,6642.327,BIRSPR,17,NICE,30,FLAT,GRAS,CAMSED,5,0.06,30,170.2,11400,0.35,1.03,1,6.64,90,25,10700,0.11,94.7,4140,1304,0.07,7.2,1950,0.8,2200,0.08,45.4,10,272.4
129,BIL,597751,6649203,597.751,6649.203,SPRBIR,18,MOIST,235,NW,GRAS,CAMSED,5,0.02,34,40.9,9900,0.93,0.94,1,6.85,90,23,6800,0.06,95.3,3980,3404,0.17,4.4,1490,1.24,2400,0.07,21.9,8,432.4
131,BIL,597503,6650780,597.503,6650.78,SPRUCE,18,MOIST,187,E,GRMO,MAGM,5,0.01,27,60.9,8400,0.95,0.32,0.9,5.39,70,18,8100,0.07,95.6,2430,4428,0.15,2.1,2280,0.81,1500,0.05,22.2,10,306.1
132,BIL,602548,6646851,602.548,6646.851,SPRPIN,19,NICE,230,S,MIX,CAMSED,9,0.03,27,84.5,12200,0.58,0.7,1.1,6.7,90,19,8300,0.12,95.1,3120,1293,0.09,10.2,1220,1.32,2200,0.1,45.1,8,567.6
133,BIL,600209,6640474,600.209,6640.474,PINE,19,NICE,195,W,MOSS,GNEIS_O,6,0.04,39,61,12600,0.65,1.01,1,5.74,120,25,8500,0.08,95.1,4540,696,0.09,3.5,2310,1.17,2200,0.09,31.1,12,550.7
134,BIL,602583,6637390,602.583,6637.39,SPRBIR,20,NICE,110,NE,GRMO,GNEIS_O,7,0.06,23,66.5,9900,0.29,1.34,1.3,9.86,180,28,10200,0.31,94.9,4630,714,0.24,7.1,5070,0.71,2100,0.33,64.7,29,312.4
135,BIL,602264,6633965,602.264,6633.965,PINE,20,NICE,180,NE,MOSS,GNEIS_O,4,0.22,33,47.3,10000,0.33,0.8,0.8,5,80,20,7100,0.07,95.7,4290,1211,0.05,1.5,1660,0.67,1200,0.04,17.6,8,313.9
136,BIL,605115,6630922,605.115,6630.922,SPRUCE,21,MOIST,176,NE,GRMO,GNEIS_O,4,0.23,29,40.5,7800,0.35,1.93,0.8,6.64,90,19,9700,0.21,95.5,2990,2531,0.12,2.4,3130,0.63,1600,0.04,22,14,248.3
137,BIL,605674,6628925,605.674,6628.925,SPRPIN,22,CLOUD,194,S,GRMO,GNEID_O,6,0.28,30,34.7,8100,0.49,0.53,0.8,4.99,70,21,7300,0.11,95.8,3110,2867,0.06,2.1,2180,0.77,1200,0.04,20.2,10,281.3
138,BIL,608245,6625964,608.245,6625.964,SPRBIR,22,CLOUD,140,NW,GRAS,GNEIS_O,3,0.36,22,24.4,6100,0.24,0.73,0.9,5.89,50,15,6600,0.04,96.8,2710,2266,0.05,1.8,1720,0.42,1700,0.02,15.2,7,193.7
139,BIL,605175,6614207,605.175,6614.207,SPRUCE,23,CLOUD,120,E,BLMOLI,GNEIS_O,3,0.19,31,28.9,8500,0.45,0.44,0.9,6.45,80,18,8200,0.04,95.9,3650,2296,0.05,1.4,2210,0.53,2000,0.03,14.1,10,233.5
141,BIL,608279,6623043,608.279,6623.043,BIRSPR,23,CLOUD,175,W,GRBLU,GNEIS_O,4,0.15,35,51.4,11000,0.92,0.79,0.7,6.05,60,20,5800,0.04,95.5,3410,3854,0.06,2.6,1290,0.5,1600,0.03,16.3,6,324.5
142,BIL,609123,6618431,609.123,6618.431,PINE,24,NICE,180,SW,LYLI,GNEIS_O,4,0.24,29,28.7,7600,0.31,0.43,0.8,5.1,50,15,5700,0.02,96.5,3930,2447,0.05,1.9,2240,0.56,1600,0.03,13.7,10,273.7
143,BIL,612533,6609356,612.533,6609.356,SPRUCE,24,NICE,150,FLAT,GRBLU,GNEIS_O,5,0.29,33,34.1,8600,0.48,0.55,0.9,4.49,50,15,6200,0.03,96.2,3750,1445,0.09,2.3,2520,0.52,1600,0.03,22.4,11,212.5
144,BIL,607746,6603365,607.746,6603.365,SPRPIN,25,CLOUD,118,FLAT,MOGR,GNEIS_O,5,0.27,31,37.2,9400,0.54,0.76,0.9,5.34,80,20,6200,0.05,95.8,4470,1362,0.07,2.2,1730,0.9,1400,0.04,30.2,8,313.2
101,BBA,578741,6708487,578.741,6708.487,SPRBIR,6,NICE,218,W,GRAS,MICSH,5,0.28,2,10.8,400,0.1,0.04,1,4.29,10,6,400,0.01,99.8,250,399,0.01,0.2,180,0.21,500,0.01,2.5,1,47.8
102,BBA,582865,6706649,582.865,6706.649,SPRBIR,6,NICE,431,W,GRAS,GNEIS_R,10,0.17,3,25.8,800,0.16,0.08,0.9,5.9,30,13,500,0.02,99.7,230,511,0.01,0.4,210,0.63,600,0.03,3.9,2,91
103,BBA,581155,6720326,581.155,6720.326,SPRBIR,7,RAIN,430,FLAT,GRMO,GNEIS_R,27,0.31,4,20.1,900,0.29,0.06,0.9,5.47,20,17,200,0.01,99.8,140,440,0.06,0.2,190,0.66,500,0.02,4.2,1,78.1
104,BBA,580482,6711512,580.482,6711.512,SPRBIR,7,MOIST,475,FLAT,GRMO,GNEIS_R,14,0.35,3,15.7,900,0.16,0.07,0.9,4.64,10,8,300,0.01,99.7,180,418,0.03,0.3,170,0.87,500,0.01,3.6,1,71.4
105,BBA,584618,6701621,584.618,6701.621,SPRUCE,8,MOIST,410,FLAT,MOSS,GNEIS_R,17,0.4,4,36.2,1500,0.32,0.3,1.1,6.03,30,12,500,0.03,99.6,400,965,0.02,0.4,270,0.67,500,0.02,8.8,2,146.8
106,BBA,581453,6698513,581.453,6698.513,BIRSPR,8,NICE,296,W,GRAS,CAMSED,23,0.37,3,20.1,600,0.18,0.07,1,6.24,20,9,400,0.01,99.6,280,598,0.01,0.7,230,0.25,400,0.01,2.3,2,92.5
107,BBA,579850,6695899,579.85,6695.899,SPRBIR,9,NICE,220,FLAT,GRAS,CAMSED,9,0.25,3,15.9,900,0.11,0.04,1,5.86,30,11,500,0.02,99.6,190,192,0.01,0.6,230,0.34,500,0.01,4.1,2,62.2
108,BBA,581636,6694137,581.636,6694.137,SPRBIR,9,NICE,325,N,GRMO,CAMSED,14,0.12,3,25.1,600,0.18,0.1,0.9,5.81,20,11,300,0.02,99.6,330,826,0.01,1,230,0.44,400,0.01,3.9,2,82.5
109,BBA,585167,6692022,585.167,6692.022,MIXDEC,10,NICE,390,E,GRFE,CAMSED,11,0.18,3,55.9,900,0.18,0.07,0.9,4.9,40,12,300,0.05,99.6,250,246,0.02,1,210,0.59,300,0.01,3.5,2,60.7
111,BBA,582095,6688877,582.095,6688.877,MIXDEC,10,NICE,480,S,GRAS,CAMSED,13,0.32,3,9.9,800,0.18,0.05,0.9,5.82,20,14,300,0.03,99.7,210,319,0.01,0.5,220,0.47,300,0.01,5.3,2,48.1
112,BBA,580702,6686100,580.702,6686.1,SPRBIR,11,CLOUD,296,N,GRMO,CAMSED,9,0.42,2,8.6,400,0.11,0.04,0.8,4.53,10,5,200,0.01,99.7,180,687,0.01,0.2,180,0.25,400,0.01,2.5,1,67.9
113,BBA,583087,6684132,583.087,6684.132,MIXDEC,11,CLOUD,360,N,GRAS,CAMSED,9,0.29,3,12.9,400,0.11,0.03,0.9,5.29,20,15,300,0.02,99.8,140,283,0.01,0.4,170,0.61,400,0.01,2.6,2,54.9
114,BBA,589716,6679640,589.716,6679.64,SPRUCE,11,CLOUD,500,NW,BLUE,MAGM,15,0.15,3,9.1,500,0.19,0.09,0.9,5.1,20,7,400,0.02,99.7,140,598,0.02,0.2,240,0.65,500,0.01,3.3,2,65.7
115,BBA,586913,6675154,586.913,6675.154,BIRSPR,12,NICE,500,E,BLUE,MAGM,10,0.1,3,8.3,300,0.13,0.02,0.8,4.49,20,7,300,0.01,99.7,110,939,0.01,0.2,200,0.59,500,0.01,4.4,2,55.1
116,BBA,584623,6677522,584.623,6677.522,BIRSPR,12,NICE,556,FLAT,BLUE,MAGM,13,0.24,2,7.3,400,0.16,0.06,0.9,4.66,10,9,200,0.01,99.8,130,518,0.01,0.3,180,0.49,500,0.01,3.2,1,52.1
117,BBA,589418,6680992,589.418,6680.992,SPRPIN,12,NICE,500,NW,BLUE,MAGM,13,0.28,2,9.7,600,0.26,0.06,0.8,5.33,30,11,300,0.03,99.7,240,874,0.03,0.6,220,1,200,0.01,3,2,89.8
118,BBA,588861,6672243,588.861,6672.243,SPRUCE,13,RAIN,522,NW,BLGR,MAGM,16,0.18,2,8.4,400,0.12,0.1,0.9,5.1,10,10,200,0.01,99.8,100,499,0.02,0.3,160,0.79,300,0.01,3.9,1,51.1
119,BBA,591885,6668839,591.885,6668.839,SPRBIR,13,RAIN,504,S,GRAS,MAGM,18,0.15,2,17.4,500,0.25,0.04,0.8,5.48,30,11,300,0.06,99.7,220,825,0.03,0.5,220,1.2,300,0.01,3.2,3,106.3
121,BBA,592250,6664455,592.25,6664.455,SPRBIR,14,MOIST,400,N,MOGR,MAGM,13,0.17,2,8.7,500,0.21,0.07,0.7,5.04,10,9,200,0.01,99.7,170,701,0.01,0.2,180,0.77,300,0.01,3.9,1,75.8
122,BBA,593299,6660953,593.299,6660.953,SPRBIR,14,NICE,340,S,BLUE,MAGM,18,0.76,3,17.6,500,0.23,0.04,0.9,4.89,20,15,400,0.03,99.7,150,624,0.01,0.2,200,1.7,200,0.01,4.9,2,80
123,BBA,593328,6657946,593.328,6657.946,SPRBIR,15,CLOUD,420,NW,BLLY,MAGM,19,0.13,3,4.3,500,0.21,0.02,0.8,5.11,20,12,200,0.03,99.7,140,862,0.01,0.2,160,2.81,200,0.01,2.3,2,86.5
124,BBA,595140,6656129,595.14,6656.129,BIRSPR,15,MOIST,290,SW,MOGR,MAGM,17,0.18,2,19.6,700,0.22,0.06,0.9,5.46,80,26,300,0.32,99.6,190,422,0.04,0.5,170,5.75,300,0.02,5.9,6,91.8
125,BBA,598010,6652619,598.01,6652.619,SPRUCE,16,NICE,205,SE,MIX,MAGM,23,0.51,2,10.6,700,0.38,0.06,0.8,6.56,60,14,200,0.1,99.5,150,1358,0.04,0.5,220,3.3,200,0.03,3.2,5,171
126,BBA,597394,6653685,597.394,6653.685,SPRPIN,16,NICE,307,,BLUGRA,MAGM,9,0.34,4,10.2,400,0.23,0.05,0.8,5.01,40,18,600,0.08,99.3,120,2160,0.03,0.4,220,3.88,50,0.03,3.4,3,111.8
127,BBA,592592,6645600,592.592,6645.6,SPRUCE,17,NICE,160,SE,GRAS,CAMSED,15,0.15,4,8.3,900,0.23,0.08,0.8,5.59,50,19,400,0.07,99.5,240,497,0.03,0.5,220,2.23,100,0.03,5.7,5,180.4
128,BBA,593200,6642327,593.2,6642.327,BIRSPR,17,NICE,30,FLAT,GRAS,CAMSED,13,0.32,4,26.3,900,0.23,0.17,1,6.92,110,19,400,0.18,99.4,210,852,0.07,0.8,260,2.9,200,0.08,6.8,11,98.6
129,BBA,597751,6649203,597.751,6649.203,SPRBIR,18,MOIST,235,NW,GRAS,CAMSED,17,0.33,3,5.5,500,0.13,0.06,1,5.74,40,12,300,0.07,99.8,140,363,0.04,0.3,180,2.11,200,0.03,2.7,4,62.8
131,BBA,597503,6650780,597.503,6650.78,SPRUCE,18,MOIST,187,E,GRMO,MAGM,17,0.48,2,7.4,500,0.15,0.06,1,5.72,60,17,200,0.09,99.5,120,716,0.04,0.5,220,1.32,200,0.04,2.8,6,83
132,BBA,602548,6646851,602.548,6646.851,SPRPIN,19,NICE,230,S,MIX,CAMSED,21,0.39,4,12.1,1000,0.36,0.11,1,7.18,90,16,200,0.16,99.5,180,690,0.04,0.5,180,8.61,100,0.04,5.4,9,231.2
133,BBA,600209,6640474,600.209,6640.474,PINE,19,NICE,195,W,MOSS,GNEIS_O,15,0.28,3,15.7,1300,0.17,0.19,1,6.08,130,21,300,0.18,99.5,220,487,0.05,0.5,200,8.25,300,0.05,5.5,11,148.6
134,BBA,602583,6637390,602.583,6637.39,SPRBIR,20,NICE,110,NE,GRMO,GNEIS_O,15,0.16,3,13.7,1300,0.11,0.26,1.1,7.39,200,15,300,0.37,99.2,310,482,0.1,0.6,230,4.98,100,0.09,7.6,27,92.1
135,BBA,602264,6633965,602.264,6633.965,PINE,20,NICE,180,NE,MOSS,GNEIS_O,15,0.23,2,5.8,400,0.23,0.13,1,5.61,70,17,200,0.13,99.6,180,784,0.03,0.4,220,1.95,200,0.03,2.4,7,113.7
136,BBA,605115,6630922,605.115,6630.922,SPRUCE,21,MOIST,176,NE,GRMO,GNEIS_O,13,0.56,3,6.9,400,0.08,0.09,0.8,4.89,30,16,200,0.05,99.8,130,461,0.02,0.4,190,1.03,200,0.02,4,3,48.3
137,BBA,605674,6628925,605.674,6628.925,SPRPIN,22,CLOUD,194,S,GRMO,GNEID_O,10,0.25,3,5.4,400,0.12,0.05,0.8,4.32,20,14,100,0.02,99.8,120,379,0.01,0.2,170,0.93,100,0.01,2.3,2,67.8
138,BBA,608245,6625964,608.245,6625.964,SPRBIR,22,CLOUD,140,NW,GRAS,GNEIS_O,11,0.2,3,6.2,300,0.2,0.07,0.9,4.76,20,5,200,0.02,99.7,140,988,0.01,0.3,190,0.57,200,0.01,2.6,2,54.8
139,BBA,605175,6614207,605.175,6614.207,SPRUCE,23,CLOUD,120,E,BLMOLI,GNEIS_O,14,0.15,2,7.4,600,0.17,0.12,1,5.4,80,19,400,0.12,99.5,220,1098,0.05,0.5,320,1.83,400,0.04,3.9,7,72.1
141,BBA,608279,6623043,608.279,6623.043,BIRSPR,23,CLOUD,175,W,GRBLU,GNEIS_O,9,0.24,3,7.6,600,0.14,0.1,0.8,5,20,10,200,0.02,99.7,120,963,0.01,0.2,180,0.84,200,0.01,2.5,2,69.7
142,BBA,609123,6618431,609.123,6618.431,PINE,24,NICE,180,SW,LYLI,GNEIS_O,12,0.24,2,4.6,300,0.11,0.05,0.8,4.64,20,8,200,0.02,99.7,170,694,0.01,0.3,180,0.84,200,0.01,2.6,2,67.1
143,BBA,612533,6609356,612.533,6609.356,SPRUCE,24,NICE,150,FLAT,GRBLU,GNEIS_O,11,0.22,3,5.4,500,0.24,0.05,0.8,4.74,20,9,100,0.02,99.7,160,1226,0.01,0.2,210,1.35,200,0.01,3.1,2,102.4
144,BBA,607746,6603365,607.746,6603.365,SPRPIN,25,CLOUD,118,FLAT,MOGR,GNEIS_O,12,0.19,3,4.8,400,0.15,0.08,0.8,5.26,10,12,100,0.01,99.8,140,521,0.01,0.2,150,1.18,200,0.01,3.6,1,100.1
101,BWO,578741,6708487,578.741,6708.487,SPRBIR,6,NICE,218,W,GRAS,MICSH,11,0.09,2,26.2,1100,0.18,0.03,1.2,1.58,10,1,600,0.005,99.5,280,26,0.02,0.2,210,0.3,200,0.01,5.6,1,18
102,BWO,582865,6706649,582.865,6706.649,SPRBIR,6,NICE,431,W,GRAS,GNEIS_R,13,0.1,2,39.4,1100,0.23,0.14,1.1,1.62,10,4,700,0.005,99.6,300,87,0.005,0.1,210,0.34,300,0.01,4.7,1,45.4
103,BWO,581155,6720326,581.155,6720.326,SPRBIR,7,RAIN,430,FLAT,GRMO,GNEIS_R,22,0.18,2,26.4,900,0.2,0.15,1.3,1.32,10,1,700,0.02,99.6,300,189,0.01,0.1,200,1.38,200,0.01,4.7,1,40.9
104,BWO,580482,6711512,580.482,6711.512,SPRBIR,7,MOIST,475,FLAT,GRMO,GNEIS_R,8,0.15,3,16,1000,0.19,0.15,2,1.75,10,1,700,0.005,99.6,360,162,0.05,0.1,200,0.73,300,0.01,3.2,1,44.4
105,BWO,584618,6701621,584.618,6701.621,SPRUCE,8,MOIST,410,FLAT,MOSS,GNEIS_R,14,0.16,2,20.7,700,0.08,0.22,1.1,1.54,10,1,600,0.005,99.7,320,33,0.01,0.1,140,0.73,200,0.01,5,1,19.2
106,BWO,581453,6698513,581.453,6698.513,BIRSPR,8,NICE,296,W,GRAS,CAMSED,12,0.1,3,41.3,1100,0.16,0.13,1.2,1.83,10,2,700,0.01,99.6,310,58,0.005,0.2,260,0.21,200,0.01,4,1,33.5
107,BWO,579850,6695899,579.85,6695.899,SPRBIR,9,NICE,220,FLAT,GRAS,CAMSED,11,0.2,2,35.4,900,0.12,0.07,1.3,2.17,10,2,900,0.005,99.6,380,63,0.005,0.3,430,0.16,200,0.01,4,2,40.2
108,BWO,581636,6694137,581.636,6694.137,SPRBIR,9,NICE,325,N,GRMO,CAMSED,12,0.05,2,43.4,700,0.12,0.08,0.8,1.56,5,2,700,0.005,99.7,220,46,0.01,0.2,240,0.21,50,0.01,4,1,28.8
109,BWO,585167,6692022,585.167,6692.022,MIXDEC,10,NICE,390,E,GRFE,CAMSED,27,0.03,2,73.3,1000,0.18,0.12,1,1.41,10,4,600,0.01,99.6,230,33,0.02,0.2,160,0.25,50,0.01,5,1,21.3
111,BWO,582095,6688877,582.095,6688.877,MIXDEC,10,NICE,480,S,GRAS,CAMSED,8,0.06,3,8.5,1100,0.12,0.06,1.1,1.78,10,1,700,0.01,99.6,210,31,0.01,0.3,190,0.27,50,0.01,9.3,1,22.3
112,BWO,580702,6686100,580.702,6686.1,SPRBIR,11,CLOUD,296,N,GRMO,CAMSED,7,0.1,3,21.1,900,0.16,0.12,1.1,1.67,10,2,900,0.005,99.6,260,95,0.01,0.1,230,0.43,100,0.01,5.1,1,36.2
113,BWO,583087,6684132,583.087,6684.132,MIXDEC,11,CLOUD,360,N,GRAS,CAMSED,24,0.06,2,25.5,800,0.19,0.03,1.1,1.97,10,3,700,0.005,99.7,260,40,0.01,0.1,250,0.17,200,0.01,5.3,1,31.3
114,BWO,589716,6679640,589.716,6679.64,SPRUCE,11,CLOUD,500,NW,BLUE,MAGM,16,0.03,2,17.5,700,0.17,0.12,1,1.99,10,1,800,0.01,99.7,280,103,0.01,0.2,330,1.03,300,0.01,6.5,2,50.2
115,BWO,586913,6675154,586.913,6675.154,BIRSPR,12,NICE,500,E,BLUE,MAGM,9,0.04,2,19.9,800,0.26,0.06,1,1.7,10,3,600,0.005,99.7,200,196,0.005,0.1,250,2.35,300,0.01,11.1,1,44
116,BWO,584623,6677522,584.623,6677.522,BIRSPR,12,NICE,556,FLAT,BLUE,MAGM,6,0.01,3,12.9,600,0.19,0.1,0.9,1.27,10,3,700,0.005,99.7,200,156,0.005,0.1,190,1.42,200,0.01,4.6,1,35
117,BWO,589418,6680992,589.418,6680.992,SPRPIN,12,NICE,500,NW,BLUE,MAGM,17,0.04,2,18.4,700,0.25,0.1,1,1.65,10,2,800,0.03,99.7,220,141,0.03,0.2,250,0.5,300,0.01,4,1,42.9
118,BWO,588861,6672243,588.861,6672.243,SPRUCE,13,RAIN,522,NW,BLGR,MAGM,7,0.07,2,12.9,600,0.29,0.22,1.1,1.38,10,4,500,0.005,99.7,220,216,0.01,0.1,130,1.41,200,0.01,5.8,1,40
119,BWO,591885,6668839,591.885,6668.839,SPRBIR,13,RAIN,504,S,GRAS,MAGM,10,0.03,2,33.2,600,0.42,0.05,1,1.95,10,3,700,0.09,99.7,230,169,0.03,0.2,240,1.48,200,0.01,3.9,1,64.6
121,BWO,592250,6664455,592.25,6664.455,SPRBIR,14,MOIST,400,N,MOGR,MAGM,10,0.03,3,13.5,700,0.24,0.15,1.1,1.76,10,2,700,0.005,99.7,270,93,0.005,0.1,230,2.11,200,0.01,7.2,1,51.2
122,BWO,593299,6660953,593.299,6660.953,SPRBIR,14,NICE,340,S,BLUE,MAGM,9,0.01,2,18.1,700,0.26,0.09,1,1.37,10,1,600,0.28,99.7,230,189,0.04,0.2,180,1.85,50,0.01,5.6,1,40.1
123,BWO,593328,6657946,593.328,6657.946,SPRBIR,15,CLOUD,420,NW,BLLY,MAGM,6,0.02,2,7.5,700,0.24,0.01,1,1.28,10,3,600,0.01,99.7,230,245,0.01,0.1,160,2.58,200,0.01,3.2,1,49
124,BWO,595140,6656129,595.14,6656.129,BIRSPR,15,MOIST,290,SW,MOGR,MAGM,20,0.04,2,19.3,600,0.38,0.02,1,1.77,10,4,700,0.005,99.7,250,257,0.01,0.1,280,4.29,200,0.01,5.1,1,80.6
125,BWO,598010,6652619,598.01,6652.619,SPRUCE,16,NICE,205,SE,MIX,MAGM,16,0.05,3,14.1,900,0.27,0.04,1.1,1.42,10,2,600,0.03,99.6,230,239,0.03,0.1,160,4.31,200,0.01,4.7,1,82.6
126,BWO,597394,6653685,597.394,6653.685,SPRPIN,16,NICE,307,,BLUGRA,MAGM,11,0.02,3,22.4,900,0.43,0.06,1.6,1.5,20,3,700,0.06,98.9,210,408,0.05,0.2,200,6.88,200,0.01,5.3,1,88.5
